Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23021-il-200000
Airfoil,naca23021-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,49.0917
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23021-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
7.750,1.0665,0.02192,0.01409,-0.0160,0.2328,1.0000
8.000,1.0667,0.02213,0.01432,-0.0116,0.2273,1.0000
8.250,1.0636,0.02228,0.01452,-0.0064,0.2218,1.0000
8.500,1.0521,0.02246,0.01468,0.0002,0.2176,1.0000
8.750,1.0429,0.02271,0.01492,0.0063,0.2132,1.0000
9.000,1.0401,0.02295,0.01522,0.0112,0.2072,1.0000
9.250,1.0353,0.02335,0.01559,0.0162,0.2011,1.0000
9.500,1.0361,0.02378,0.01605,0.0201,0.1934,1.0000
9.750,1.0342,0.02442,0.01665,0.0242,0.1851,1.0000
10.000,1.0361,0.02512,0.01734,0.0275,0.1738,1.0000
10.250,1.0364,0.02608,0.01825,0.0306,0.1607,1.0000
10.500,1.0361,0.02730,0.01941,0.0333,0.1455,1.0000
10.750,1.0346,0.02882,0.02085,0.0357,0.1303,1.0000
11.000,1.0326,0.03058,0.02253,0.0378,0.1189,1.0000
11.250,1.0319,0.03243,0.02434,0.0394,0.1112,1.0000
11.500,1.0309,0.03445,0.02634,0.0408,0.1062,1.0000
11.750,1.0325,0.03641,0.02831,0.0417,0.1024,1.0000
12.000,1.0320,0.03864,0.03055,0.0425,0.0997,1.0000
12.250,1.0319,0.04094,0.03287,0.0431,0.0978,1.0000
12.500,1.0343,0.04311,0.03510,0.0435,0.0960,1.0000
12.750,1.0360,0.04542,0.03746,0.0437,0.0944,1.0000
13.000,1.0370,0.04787,0.03994,0.0439,0.0932,1.0000
13.250,1.0375,0.05041,0.04250,0.0439,0.0921,1.0000
13.500,1.0384,0.05294,0.04503,0.0439,0.0911,1.0000
13.750,1.0418,0.05525,0.04735,0.0439,0.0903,1.0000
14.000,1.0469,0.05742,0.04958,0.0438,0.0895,1.0000
14.250,1.0527,0.05954,0.05174,0.0437,0.0888,1.0000
14.500,1.0588,0.06164,0.05388,0.0436,0.0881,1.0000
14.750,1.0656,0.06366,0.05593,0.0435,0.0874,1.0000
15.000,1.0733,0.06559,0.05788,0.0434,0.0868,1.0000
15.250,1.0813,0.06747,0.05978,0.0433,0.0862,1.0000
15.500,1.0904,0.06922,0.06155,0.0432,0.0857,1.0000
15.750,1.1004,0.07086,0.06320,0.0432,0.0852,1.0000
16.000,1.1116,0.07234,0.06467,0.0432,0.0847,1.0000
16.250,1.1244,0.07361,0.06592,0.0434,0.0843,1.0000
16.500,1.1397,0.07454,0.06682,0.0437,0.0839,1.0000
16.750,1.1571,0.07518,0.06744,0.0442,0.0834,1.0000
17.000,1.1664,0.07701,0.06932,0.0440,0.0832,1.0000
17.250,1.1730,0.07921,0.07161,0.0436,0.0829,1.0000
17.500,1.1786,0.08156,0.07406,0.0431,0.0827,1.0000
17.750,1.1829,0.08410,0.07671,0.0424,0.0824,1.0000
18.000,1.1862,0.08679,0.07950,0.0416,0.0822,1.0000
18.250,1.1880,0.08969,0.08252,0.0407,0.0820,1.0000
18.500,1.1881,0.09286,0.08581,0.0397,0.0818,1.0000
18.750,1.1867,0.09628,0.08936,0.0384,0.0817,1.0000
19.000,1.1818,0.10025,0.09347,0.0369,0.0817,1.0000
19.250,1.1731,0.10483,0.09823,0.0349,0.0817,1.0000
